name,operation,key size(B),value size(B),thread,operation count,time(ns),vmrss(KB),file size(B)
Kv,set,4,1024,16,706897,5000695206,991264,1693696
Kv,get,4,1024,16,706147,5000695206,991264,1693696
Kv,set,4,1024,16,1083364,10000875066,1769960,2206720
Kv,get,4,1024,16,1082076,10000875066,1769960,2206720
Kv,set,4,1024,16,1242832,15001074853,1917724,2647040
Kv,get,4,1024,16,1241293,15001074853,1917724,2647040
Kv,set,16,1024,16,653580,5000394285,2764560,1394176
Kv,get,16,1024,16,652769,5000394285,2764560,1394176
Kv,set,16,1024,16,1045307,10000584083,2886848,1807360
Kv,get,16,1024,16,1044687,10000584083,2886848,1807360
Kv,set,16,1024,16,1192439,15000772269,2919704,2613248
Kv,get,16,1024,16,1191582,15000772269,2919704,2613248
Kv,set,64,1024,16,655437,5000312481,2642676,1801728
Kv,get,64,1024,16,655416,5000312481,2642676,1801728
Kv,set,64,1024,16,1103653,10000472623,2856460,2196068
Kv,get,64,1024,16,1105009,10000472623,2856460,2196068
Kv,set,64,1024,16,1330121,15000655399,2896108,2851328
Kv,get,64,1024,16,1331509,15000655399,2896108,2851328
Kv,set,256,1024,16,588552,5000317901,3341640,1880796
Kv,get,256,1024,16,588251,5000317901,3341640,1880796
Kv,set,256,1024,16,1053118,10000487792,3491868,2265600
Kv,get,256,1024,16,1050859,10000487792,3491868,2265600
Kv,set,256,1024,16,1216852,15000627035,3488736,3061760
Kv,get,256,1024,16,1214226,15000627035,3488736,3061760
Kv,set,1024,1024,16,407242,5000305257,3253324,1843200
Kv,get,1024,1024,16,407242,5000305257,3253324,1843200
Kv,set,1024,1024,16,573354,10000457935,3327068,2313728
Kv,get,1024,1024,16,573037,10000457935,3327068,2313728
Kv,set,1024,1024,16,982810,15000618559,3384112,3247104
Kv,get,1024,1024,16,982402,15000618559,3384112,3247104
Kv,set,4096,1024,16,144534,5000311287,3343124,1976320
Kv,get,4096,1024,16,144206,5000311287,3343124,1976320
Kv,set,4096,1024,16,247382,10000466210,3362580,2209280
Kv,get,4096,1024,16,246189,10000466210,3362580,2209280
Kv,set,4096,1024,16,411231,15000629699,3361184,3209216
Kv,get,4096,1024,16,409791,15000629699,3361184,3209216
Kv,set,16384,1024,16,57514,5000789321,3201656,2166697
Kv,get,16384,1024,16,56830,5000789321,3201656,2166697
Kv,set,16384,1024,16,120371,10398825346,4095608,4246006
Kv,get,16384,1024,16,119251,10398825346,4095608,4246006
Kv,set,16384,1024,16,161974,15435539940,5520760,6088452
Kv,get,16384,1024,16,160900,15435539940,5520760,6088452
Kv2,set,4,1024,16,705527,5000294476,3364376,1810944
Kv2,get,4,1024,16,704936,5000294476,3364376,1810944
Kv2,set,4,1024,16,1129660,10000447716,3395300,2331648
Kv2,get,4,1024,16,1127729,10000447716,3395300,2331648
Kv2,set,4,1024,16,1603275,15000619661,3402724,3230720
Kv2,get,4,1024,16,1601432,15000619661,3402724,3230720
Kv2,set,16,1024,16,713625,5000892927,3374680,1824768
Kv2,get,16,1024,16,714398,5000892927,3374680,1824768
Kv2,set,16,1024,16,1141625,10001069691,3394724,2478080
Kv2,get,16,1024,16,1143678,10001069691,3394724,2478080
Kv2,set,16,1024,16,1651476,15001239251,3398052,3609088
Kv2,get,16,1024,16,1653517,15001239251,3398052,3609088
Kv2,set,64,1024,16,723864,5000270030,3359892,1862144
Kv2,get,64,1024,16,723009,5000270030,3359892,1862144
Kv2,set,64,1024,16,1153193,10000419453,3331032,2552832
Kv2,get,64,1024,16,1152213,10000419453,3331032,2552832
Kv2,set,64,1024,16,1659563,15000569538,3370340,3668612
Kv2,get,64,1024,16,1658305,15000569538,3370340,3668612
Kv2,set,64,1024,16,1659708,20000708652,3370340,3786752
Kv2,get,64,1024,16,1658428,20000708652,3370340,3786752
Kv2,set,256,1024,16,657784,5000332028,3462860,2106368
Kv2,get,256,1024,16,657747,5000332028,3462860,2106368
Kv2,set,256,1024,16,1097741,10000485698,3628156,2659840
Kv2,get,256,1024,16,1097689,10000485698,3628156,2659840
Kv2,set,256,1024,16,1419285,15000680726,3739940,3465728
Kv2,get,256,1024,16,1418310,15000680726,3739940,3465728
Kv2,set,1024,1024,16,449614,5000377383,3568664,1839616
Kv2,get,1024,1024,16,451056,5000377383,3568664,1839616
Kv2,set,1024,1024,16,703173,10000543166,3575736,2412032
Kv2,get,1024,1024,16,704010,10000543166,3575736,2412032
Kv2,set,1024,1024,16,1073256,15000713839,3644656,3950080
Kv2,get,1024,1024,16,1075182,15000713839,3644656,3950080
Kv2,set,4096,1024,16,195531,5000304586,3449536,2185728
Kv2,get,4096,1024,16,195417,5000304586,3449536,2185728
Kv2,set,4096,1024,16,304360,10000466482,3440636,2454016
Kv2,get,4096,1024,16,303909,10000466482,3440636,2454016
Kv2,set,4096,1024,16,485049,15000616696,3501152,4319860
Kv2,get,4096,1024,16,484511,15000616696,3501152,4319860
Kv2,set,4096,1024,16,485049,20000796586,3501152,4383744
Kv2,get,4096,1024,16,484511,20000796586,3501152,4383744
Kv2,set,16384,1024,16,74604,5000372463,3449344,2715091
Kv2,get,16384,1024,16,74776,5000372463,3449344,2715091
Kv2,set,16384,1024,16,161750,10024778656,5711104,4957317
Kv2,get,16384,1024,16,161297,10024778656,5711104,4957317
Kv2,set,16384,1024,16,164102,15066278800,5759232,7212677
Kv2,get,16384,1024,16,163654,15066278800,5759232,7212677
Rocksdb,set,4,1024,16,600645,5000654246,5788404,993119
Rocksdb,get,4,1024,16,601624,5000654246,5788404,993119
Rocksdb,set,4,1024,16,1229374,10001207686,5789704,1514901
Rocksdb,get,4,1024,16,1232344,10001207686,5789704,1514901
Rocksdb,set,4,1024,16,1892285,15001435125,5786012,2534042
Rocksdb,get,4,1024,16,1894958,15001435125,5786012,2534042
Rocksdb,set,16,1024,16,876329,5000649678,5791964,1357972
Rocksdb,get,16,1024,16,877634,5000649678,5791964,1357972
Rocksdb,set,16,1024,16,1556716,10000913837,5794012,1975806
Rocksdb,get,16,1024,16,1558431,10000913837,5794012,1975806
Rocksdb,set,16,1024,16,2206203,15001153630,5788648,2629741
Rocksdb,get,16,1024,16,2208900,15001153630,5788648,2629741
Rocksdb,set,64,1024,16,824781,5001054763,5779676,1281688
Rocksdb,get,64,1024,16,823529,5001054763,5779676,1281688
Rocksdb,set,64,1024,16,1529879,10001227379,5795904,1839165
Rocksdb,get,64,1024,16,1529861,10001227379,5795904,1839165
Rocksdb,set,64,1024,16,2114037,15001405175,5790800,2432962
Rocksdb,get,64,1024,16,2112502,15001405175,5790800,2432962
Rocksdb,set,256,1024,16,758122,5000449259,5802048,1255714
Rocksdb,get,256,1024,16,759682,5000449259,5802048,1255714
Rocksdb,set,256,1024,16,1414065,10000623959,5799856,1969070
Rocksdb,get,256,1024,16,1416988,10000623959,5799856,1969070
Rocksdb,set,256,1024,16,1948345,15000812465,5799748,2658925
Rocksdb,get,256,1024,16,1950008,15000812465,5799748,2658925
Rocksdb,set,1024,1024,16,646569,5000540161,5799236,890806
Rocksdb,get,1024,1024,16,646529,5000540161,5799236,890806
Rocksdb,set,1024,1024,16,1164155,10000768372,5806192,1441875
Rocksdb,get,1024,1024,16,1164777,10000768372,5806192,1441875
Rocksdb,set,1024,1024,16,1483623,15001045556,5807984,1662953
Rocksdb,get,1024,1024,16,1483308,15001045556,5807984,1662953
Rocksdb,set,4096,1024,16,427070,5000464567,5804080,662694
Rocksdb,get,4096,1024,16,426549,5000464567,5804080,662694
Rocksdb,set,4096,1024,16,683089,10000706127,5801596,1098805
Rocksdb,get,4096,1024,16,681524,10000706127,5801596,1098805
Rocksdb,set,4096,1024,16,922243,15000949637,5804248,1361029
Rocksdb,get,4096,1024,16,921532,15000949637,5804248,1361029
Rocksdb,set,16384,1024,16,143854,5000525703,5804336,364983
Rocksdb,get,16384,1024,16,144282,5000525703,5804336,364983
Rocksdb,set,16384,1024,16,211257,10000738686,5798980,478651
Rocksdb,get,16384,1024,16,212126,10000738686,5798980,478651
Rocksdb,set,16384,1024,16,284351,15000959373,5804084,689134
Rocksdb,get,16384,1024,16,284698,15000959373,5804084,689134
Sled,set,4,1024,16,375806,5000389446,5839164,517474
Sled,get,4,1024,16,375205,5000389446,5839164,517474
Sled,set,4,1024,16,690278,10000561932,5915964,1142784
Sled,get,4,1024,16,688323,10000561932,5915964,1142784
Sled,set,4,1024,16,1056133,15000725969,5953596,1801599
Sled,get,4,1024,16,1054705,15000725969,5953596,1801599
Sled,set,16,1024,16,370651,5000382600,4408468,525187
Sled,get,16,1024,16,370695,5000382600,4408468,525187
Sled,set,16,1024,16,683493,10000547067,4451476,1129732
Sled,get,16,1024,16,684008,10000547067,4451476,1129732
Sled,set,16,1024,16,1052198,15000724059,4500628,1778025
Sled,get,16,1024,16,1051630,15000724059,4500628,1778025
Sled,set,64,1024,16,359861,5002508947,4244740,537920
Sled,get,64,1024,16,359054,5002508947,4244740,537920
Sled,set,64,1024,16,680383,10002665479,4264964,1177600
Sled,get,64,1024,16,679735,10002665479,4264964,1177600
Sled,set,64,1024,16,1037267,15002819086,4291324,1802752
Sled,get,64,1024,16,1036965,15002819086,4291324,1802752
Sled,set,256,1024,16,299932,5000323679,4205888,554932
Sled,get,256,1024,16,299288,5000323679,4205888,554932
Sled,set,256,1024,16,590208,10000487515,4262720,1248768
Sled,get,256,1024,16,588883,10000487515,4262720,1248768
Sled,set,256,1024,16,970801,15000679434,4275540,1837469
Sled,get,256,1024,16,968922,15000679434,4275540,1837469
Sled,set,1024,1024,16,239231,5001790440,4234112,696538
Sled,get,1024,1024,16,239544,5001790440,4234112,696538
Sled,set,1024,1024,16,497880,10001956861,4275452,1659490
Sled,get,1024,1024,16,497737,10001956861,4275452,1659490
Sled,set,1024,1024,16,694769,15002145674,4274736,2214912
Sled,get,1024,1024,16,693832,15002145674,4274736,2214912
Sled,set,4096,1024,16,104483,5000321985,4278836,989184
Sled,get,4096,1024,16,104507,5000321985,4278836,989184
Sled,set,4096,1024,16,231639,10000486763,4286508,1678848
Sled,get,4096,1024,16,232265,10000486763,4286508,1678848
Sled,set,4096,1024,16,367775,15000646201,4286508,2578667
Sled,get,4096,1024,16,368829,15000646201,4286508,2578667
Sled,set,16384,1024,16,51184,5000369034,4278648,1803812
Sled,get,16384,1024,16,51199,5000369034,4278648,1803812
Sled,set,16384,1024,16,94306,10011155549,4378232,0
Sled,get,16384,1024,16,94747,10011155549,4378232,0
Sled,set,16384,1024,16,152087,15022702430,4689272,4113937
Sled,get,16384,1024,16,152612,15022702430,4689272,4113937
